sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
BSS13,sample,suspended_sediments,Betwa,"Maharana et al., 2018",51.6,1.12,13.33,1.51,8.2,0.14,2.04,4.46,0.54,1.64,0.12,
KSS12,sample,suspended_sediments,Ken,"Maharana et al., 2018",55.89,0.45,18.38,1.02,9.5,1.92,0.13,1.51,0.3,1.93,0.15,
KSS13,sample,suspended_sediments,Ken,"Maharana et al., 2018",51.61,1.37,13.11,1.73,9.4,0.15,2.17,3.77,0.55,1.57,0.14,
TSS12,sample,suspended_sediments,Ton,"Maharana et al., 2018",51.7,0.99,18.43,0.87,9.5,0.13,2.09,1.36,0.34,2.73,0.16,
SSS13,sample,suspended_sediments,Son,"Maharana et al., 2018",46.46,1.12,21.23,0.58,11.78,0.11,1.05,0.78,0.33,2.07,0.15,
YSSAG13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",59.61,0.75,15.75,0.94,5.52,0.1,2.5,2.02,1.08,3.39,0.15,
YSSABD13,sample,suspended_sediments,Yamuna,"Maharana et al., 2018",51.08,0.97,13.5,1.5,7.15,0.12,2.59,6.42,0.62,2.08,0.13,
GSSABD12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",58.33,0.67,16.54,1.07,6.62,0.1,3.01,1.56,1.13,3.85,0.15,
GSSABD13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",59.04,0.7,16.77,1.16,6.86,0.11,2.92,2.58,1.05,3.78,0.15,
GSSACY12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",49.9,0.95,14.34,1.63,7.87,0.13,2.97,7.61,0.59,2.27,0.14,
GSSVIN13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",50.23,0.89,14.19,1.44,7.87,0.13,2.77,4.76,0.57,2.57,0.16,
GSSB12,sample,suspended_sediments,Ganga,"Maharana et al., 2018",54.61,0.84,15.99,1.25,7.58,0.09,2.37,3.74,0.75,3.16,0.14,
GSSB13,sample,suspended_sediments,Ganga,"Maharana et al., 2018",54.55,0.77,15.56,1.2,6.2,0.1,3.06,6.2,0.69,3.25,0.13,
S-1,sample,Silty_clay,Meghna,"Hossain, 2019",68.61,0.72,13.55,1.04,4.64,0.17,1.48,2.01,1.19,2.28,0.15,
S-2,sample,Silty_clay,Meghna,"Hossain, 2019",70.35,0.69,13.34,0.99,4.31,0.1,1.42,1.6,1.27,2.22,0.14,
