sample,category,subcategory,subsubcategory,reference,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W)
S-6,sample,Sand,Meghna,"Hossain, 2019",66.37,79.79,58.62,61.25,68.84,0.76,38.83,69.7
S-7,sample,Sand,Meghna,"Hossain, 2019",64.58,78.48,57.08,59.23,67.67,0.77,39.33,69.76
S-8,sample,Silty_clay,Meghna,"Hossain, 2019",74.83,85.6,65.21,70.47,73.25,0.66,42.61,70.1
S-9,sample,Sand,Meghna,"Hossain, 2019",66.38,79.79,58.7,61.32,68.94,0.81,34.56,68.99
S-10,sample,Silty_clay,Meghna,"Hossain, 2019",75.27,85.89,65.69,71.05,73.63,0.66,42.61,69.75
S-11,sample,Silty_clay,Meghna,"Hossain, 2019",80.2,89.01,70.14,76.88,76.79,0.58,41.71,70.37
S-12,sample,Sand,Meghna,"Hossain, 2019",66.13,79.61,58.7,61.22,69.09,0.82,39.76,67
S-13,sample,Silty_clay,Meghna,"Hossain, 2019",74.53,85.41,65.08,70.2,73.22,0.72,45.52,66.41
S-14,sample,Silty_clay,Meghna,"Hossain, 2019",76.38,86.61,66.74,72.39,74.42,0.67,44.43,67.59
S-15,sample,Silty_clay,Meghna,"Hossain, 2019",77.68,87.44,67.86,73.9,75.19,0.64,44.25,67.99
S-16,sample,Sand,Meghna,"Hossain, 2019",66.5,79.88,59.18,61.77,69.55,0.84,39.93,64.91
S-17,sample,Silty_clay,Meghna,"Hossain, 2019",83.77,91.17,70.04,79.81,75.14,0.75,49.24,64.8
